country,year,control_total_patents
HU,1999,176.0
HU,2000,182.0
HU,2001,209.0
HU,2002,310.0
HU,2003,158.0
HU,2004,130.0
HU,2005,140.0
HU,2006,112.0
HU,2007,109.0
HU,2008,86.0
HU,2009,
HU,2010,160.0
HU,2011,96.0
HU,2012,134.0
HU,2013,101.0
HU,2014,128.0
HU,2015,89.0
HU,2016,88.0
HU,2017,85.0
HU,2018,109.0
HU,2019,77.0
HU,2020,
IS,1985,
IS,1986,2.0
IS,1987,
IS,1988,1.0
IS,1989,4.0
IS,1990,1.0
IS,1991,3.0
IS,1992,1.0
IS,1993,2.0
IS,1994,
IS,1995,4.0
IS,1996,2.0
IS,1997,4.0
IS,1998,6.0
IS,1999,2.0
IS,2000,5.0
IS,2001,2.0
IS,2002,2.0
IS,2003,5.0
IS,2004,11.0
IS,2005,6.0
IS,2006,11.0
IS,2007,6.0
IS,2008,4.0
IS,2009,7.0
IS,2010,6.0
IS,2011,3.0
IS,2012,5.0
IS,2013,3.0
IS,2014,2.0
IS,2015,2.0
IS,2016,6.0
IS,2017,6.0
IS,2018,6.0
IS,2019,4.0
IS,2020,
IN,1985,494.0
IN,1986,546.0
IN,1987,861.0
IN,1988,437.0
IN,1989,306.0
IN,1990,358.0
IN,1991,285.0
IN,1992,334.0
IN,1993,448.0
IN,1994,415.0
IN,1995,359.0
IN,1996,546.0
IN,1997,550.0
IN,1998,633.0
IN,1999,402.0
IN,2000,529.0
IN,2001,619.0
IN,2002,615.0
IN,2003,851.0
IN,2004,1396.0
IN,2005,1907.0
IN,2006,3173.0
IN,2007,2541.0
IN,2008,1725.0
IN,2009,1208.0
IN,2010,776.0
IN,2011,722.0
IN,2012,594.0
IN,2013,720.0
IN,2014,822.0
IN,2015,1115.0
IN,2016,1712.0
IN,2017,2311.0
IN,2018,3690.0
IN,2019,4988.0
IN,2020,
US,1985,38124.0
US,1986,43518.0
US,1987,40497.0
US,1988,50185.0
US,1989,47393.0
US,1990,51184.0
US,1991,52254.0
US,1992,53236.0
US,1993,56067.0
US,1994,55739.0
US,1995,61104.0
US,1996,61707.0
US,1997,80292.0
US,1998,83907.0
US,1999,85071.0
US,2000,87606.0
US,2001,86976.0
US,2002,87901.0
US,2003,84271.0
US,2004,74637.0
US,2005,89823.0
US,2006,79527.0
US,2007,77501.0
US,2008,82382.0
US,2009,107792.0
US,2010,108626.0
US,2011,121026.0
US,2012,133593.0
US,2013,144621.0
US,2014,140969.0
US,2015,143723.0
US,2016,150949.0
US,2017,144413.0
US,2018,167115.0
US,2019,164562.0
US,2020,
CZ,1985,
CZ,1986,
CZ,1987,
CZ,1988,
CZ,1989,
CZ,1990,
CZ,1991,
CZ,1992,541.0
CZ,1993,419.0
CZ,1994,577.0
CZ,1995,407.0
CZ,1996,300.0
CZ,1997,291.0
CZ,1998,228.0
CZ,1999,272.0
CZ,2000,241.0
CZ,2001,241.0
CZ,2002,259.0
CZ,2003,294.0
CZ,2004,349.0
CZ,2005,264.0
CZ,2006,227.0
CZ,2007,239.0
CZ,2008,376.0
CZ,2009,279.0
CZ,2010,325.0
CZ,2011,401.0
CZ,2012,408.0
CZ,2013,471.0
CZ,2014,576.0
CZ,2015,637.0
CZ,2016,567.0
CZ,2017,455.0
CZ,2018,467.0
CZ,2019,467.0
CZ,2020,
CL,1985,43.0
CL,1986,33.0
CL,1987,60.0
CL,1988,44.0
CL,1989,57.0
CL,1990,37.0
CL,1991,42.0
CL,1992,40.0
CL,1993,17.0
CL,1994,19.0
CL,1995,21.0
CL,1996,15.0
CL,1997,18.0
CL,1998,10.0
CL,1999,32.0
CL,2000,22.0
CL,2001,24.0
CL,2002,17.0
CL,2003,17.0
CL,2004,19.0
CL,2005,58.0
CL,2006,67.0
CL,2007,130.0
CL,2008,161.0
CL,2009,95.0
CL,2010,104.0
CL,2011,113.0
CL,2012,119.0
CL,2013,156.0
CL,2014,150.0
CL,2015,195.0
CL,2016,161.0
CL,2017,172.0
CL,2018,282.0
CL,2019,262.0
CL,2020,
PL,1985,3225.0
PL,1986,3479.0
PL,1987,2796.0
PL,1988,2593.0
PL,1989,3242.0
PL,1990,3418.0
PL,1991,3442.0
PL,1992,2461.0
PL,1993,1825.0
PL,1994,1619.0
PL,1995,1405.0
PL,1996,1179.0
PL,1997,1174.0
PL,1998,1022.0
PL,1999,939.0
PL,2000,851.0
PL,2001,834.0
PL,2002,613.0
PL,2003,778.0
PL,2004,1054.0
PL,2005,1122.0
PL,2006,1575.0
PL,2007,1451.0
PL,2008,1536.0
PL,2009,1385.0
PL,2010,1989.0
PL,2011,1848.0
PL,2012,2339.0
PL,2013,2490.0
PL,2014,2404.0
PL,2015,3370.0
PL,2016,2795.0
PL,2017,2906.0
PL,2018,2947.0
PL,2019,2260.0
PL,2020,
LV,1985,
LV,1986,
LV,1987,
LV,1988,
LV,1989,
LV,1990,
LV,1991,
LV,1992,112.0
LV,1993,107.0
LV,1994,186.0
LV,1995,265.0
LV,1996,143.0
LV,1997,174.0
LV,1998,99.0
LV,1999,94.0
LV,2000,97.0
LV,2001,116.0
LV,2002,103.0
LV,2003,87.0
LV,2004,86.0
LV,2005,81.0
LV,2006,
LV,2007,
LV,2008,
LV,2009,178.0
LV,2010,179.0
LV,2011,145.0
LV,2012,127.0
LV,2013,134.0
LV,2014,140.0
LV,2015,66.0
LV,2016,75.0
LV,2017,48.0
LV,2018,40.0
LV,2019,46.0
LV,2020,
KY,1985,
KY,1986,
KY,1987,
KY,1988,
KY,1989,
KY,1990,
KY,1991,
KY,1992,
KY,1993,
KY,1994,
KY,1995,
KY,1996,
KY,1997,
KY,1998,
KY,1999,
KY,2000,
KY,2001,
KY,2002,
KY,2003,
KY,2004,
KY,2005,
KY,2006,
KY,2007,
KY,2008,
KY,2009,
KY,2010,
KY,2011,
KY,2012,
KY,2013,
KY,2014,
KY,2015,
KY,2016,
KY,2017,
KY,2018,
KY,2019,
KY,2020,
PH,1985,36.0
