year,country,count,granted_count,granted_family_ge_2_count
1987,KR,12258,12199,453
1987,MA,75,73,4
1987,MX,230,220,35
1987,MY,21,15,13
1987,NL,6641,3724,3579
1987,NO,1215,643,516
1987,NZ,200,124,106
1987,PA,49,21,18
1987,PH,206,202,9
1987,PL,1386,902,112
1987,RU,1788,1774,23
1987,SE,7511,3350,3106
1987,SG,37,30,25
1987,SI,34,32,31
1987,TH,12,5,2
1987,UA,92,86,3
1987,US,105486,80636,50906
1987,ZA,567,369,309
1988,AR,131,94,17
1988,AU,2493,1419,1232
1988,BE,2306,1352,1254
1988,BG,1245,1167,59
1988,BR,5210,346,133
1988,CA,4998,4055,2611
1988,CH,10378,5992,5694
1988,CN,19895,14766,109
1988,DE,65524,30748,27583
1988,DK,2428,1212,1089
1988,EG,7,2,0
1988,ES,2708,2233,801
1988,FI,4281,2182,1717
1988,FR,29881,19643,15852
1988,GB,19617,11718,10421
1988,GR,229,139,34
1988,HU,1555,905,707
1988,IE,370,242,219
1988,IL,1027,565,499
1988,IN,156,36,25
1988,IT,18311,12770,7239
1988,JP,63771,50510,46063
1988,KR,11378,11292,768
1988,MA,84,82,11
1988,MX,187,177,32
1988,MY,22,19,12
1988,NL,7655,4418,4277
1988,NO,1308,724,625
1988,NZ,191,116,107
1988,PA,42,28,25
1988,PH,183,182,3
1988,PL,5716,3374,158
1988,RU,2254,2210,36
1988,SE,7476,3413,3211
1988,SG,33,24,19
1988,SI,44,35,34
1988,TH,2,2,1
1988,UA,111,107,0
1988,US,119247,91118,58104
1988,ZA,417,272,230
1989,AR,124,95,34
1989,AU,2399,1274,1105
1989,BE,2280,1331,1265
1989,BG,1325,1245,36
1989,BR,5041,604,209
1989,CA,5584,4340,2850
1989,CH,10929,6208,5924
1989,CN,22331,16654,148
1989,DE,72410,35306,28725
1989,DK,2740,1388,1267
1989,EG,6,3,1
1989,ES,3157,2625,896
1989,FI,4566,2463,2022
1989,FR,30515,19943,16663
1989,GB,21814,12503,11378
1989,GR,261,158,46
1989,HU,1406,858,593
1989,IE,411,190,170
1989,IL,1118,633,526
1989,IN,300,60,42
1989,IT,17495,12059,7065
1989,JP,71213,55788,51436
1989,KR,12545,12361,1304
1989,MA,58,56,3
1989,MX,213,190,39
1989,MY,38,28,22
1989,NL,8553,5033,4900
1989,NO,1506,830,733
1989,NZ,212,129,123
1989,PA,58,35,33
1989,PH,218,217,4
1989,PL,2644,1568,102
1989,RU,3327,3288,52
1989,SE,7586,3662,3494
1989,SG,43,35,28
1989,SI,34,25,24
1989,TH,6,3,0
1989,UA,241,238,4
1989,US,132498,99116,64712
1989,ZA,497,323,284
1990,AR,121,64,42
1990,AU,2792,1451,1306
1990,BE,2860,1691,1634
1990,BG,912,835,28
1990,BR,5250,660,171
1990,CA,7017,4153,3017
1990,CH,12072,6848,6526
1990,CN,27943,20715,214
1990,DE,78771,38985,32926
1990,DK,3423,1876,1745
1990,EG,15,10,1
1990,ES,3366,2669,1041
1990,FI,5019,2606,2209
1990,FR,34105,22091,19368
1990,GB,23605,13370,12028
1990,GR,297,174,69
1990,HU,1508,1037,597
1990,IE,639,335,270
1990,IL,1247,761,657
1990,IN,480,50,36
1990,IT,11513,6985,6680
1990,JP,78523,59535,54999
1990,KR,15252,14904,1921
1990,MA,54,52,1
1990,MX,167,131,38
1990,MY,16,12,9
1990,NL,9929,5947,5747
1990,NO,1726,983,873
1990,NZ,221,114,97
1990,PA,32,16,13
1990,PH,186,183,3
1990,PL,3593,2078,58
1990,RU,7099,7048,114
1990,SE,8565,4190,3930
1990,SG,58,33,25
1990,SI,49,35,26
1990,TH,11,8,5
1990,UA,795,790,6
1990,US,149478,105043,69201
1990,ZA,514,316,276
1991,AR,148,88,69
1991,AU,2554,1376,1200
1991,BE,2720,1628,1534
1991,BG,733,674,9
1991,BR,5450,930,276
1991,CA,6583,4019,2938
1991,CH,11222,6558,6203
1991,CN,34520,25026,226
1991,DE,70844,35781,30715
1991,DK,3747,1931,1777
1991,EG,6,4,1
1991,ES,2909,2186,1063
1991,FI,5246,2801,2312
1991,FR,32297,20744,18084
1991,GB,22704,13101,11442
1991,GR,278,158,62
1991,HU,1392,1064,436
1991,IE,714,368,315
1991,IL,1113,680,555
1991,IN,523,44,32
1991,IT,13165,7634,6312
1991,JP,78634,60321,53960
1991,KR,19822,19289,2840
1991,MA,61,58,7
1991,MX,229,148,84
1991,MY,33,26,18
1991,NL,9138,5591,5402
1991,NO,1586,961,821
1991,NZ,185,121,100
1991,PA,31,14,10
1991,PH,178,177,4
1991,PL,3136,1782,39
1991,RU,16409,16375,106
1991,SE,8990,4680,4358
1991,SG,55,41,22
1991,SI,72,61,30
1991,TH,14,12,9
1991,UA,2331,2325,11
1991,US,153136,107886,72776
1991,ZA,525,288,240
1992,AR,120,69,54
1992,AU,3178,1730,1537
1992,BE,3207,1778,1670
1992,BG,571,394,16
1992,BR,4229,876,197
1992,CA,7420,4521,3548
1992,CH,12300,7546,6914
1992,CN,44196,35831,207
1992,DE,80505,43487,34744
1992,DK,4080,1859,1716
1992,EG,11,2,2
1992,ES,3722,2890,1182
1992,FI,5797,3545,2478
1992,FR,34970,23782,19610
1992,GB,23502,13926,11905
1992,GR,332,196,75
1992,HU,1560,1192,419
1992,IE,684,390,274
1992,IL,1408,903,727
1992,IN,577,59,48
1992,IT,14930,9490,6905
1992,JP,75159,58319,50766
1992,KR,24010,23371,3121
1992,MA,68,59,11
1992,MX,482,226,76
1992,MY,52,33,20
1992,NL,9053,5558,5233
1992,NO,2028,1271,1109
1992,NZ,373,227,204
1992,PA,17,10,8
1992,PH,150,147,1
1992,PL,3510,1698,110
1992,RU,16395,16140,296
1992,SE,9353,5228,4795
1992,SG,130,105,69
1992,SI,179,150,51
1992,TH,12,5,5
1992,UA,1726,1692,13
1992,US,159375,113752,79150
1992,ZA,496,314,248
1993,AR,147,86,60
1993,AU,3338,1848,1612
1993,BE,3857,2117,1990
1993,BG,584,319,23
1993,BR,5212,986,265
1993,CA,8243,5182,4154
1993,CH,13301,8242,7348
1993,CN,46630,38765,271
1993,DE,95045,56888,39600
1993,DK,4719,2144,1997
1993,EG,7,5,1
1993,ES,5846,4986,1352
1993,FI,6835,4185,3210
1993,FR,35310,25021,20252
1993,GB,24304,14745,12777
1993,GR,186,124,61
1993,HU,1609,1165,425
1993,IE,1043,704,380
1993,IL,1819,1206,1009
1993,IN,569,78,60
1993,IT,17179,11983,7855
1993,JP,73746,57691,51718
1993,KR,28457,27808,3592
1993,MA,61,60,9
1993,MX,208,95,45
1993,MY,83,64,31
1993,NL,10301,6313,5777
1993,NO,2238,1311,1149
1993,NZ,489,223,196
1993,PA,47,33,28
1993,PH,83,81,4
1993,PL,3437,1536,67
1993,RU,10218,9832,344
1993,SE,11247,6940,6224
1993,SG,187,140,109
1993,SI,312,258,83
1993,TH,18,10,8
1993,UA,219,198,20
1993,US,168833,121511,89114
1993,ZA,782,507,426
1994,AR,144,77,58
1994,AU,3779,2037,1809
1994,BE,4697,2711,2570
1994,BG,430,253,22
1994,BR,4882,864,237
1994,CA,8992,5662,4504
1994,CH,14124,9005,7961
1994,CN,43600,36733,286
1994,DE,104669,65237,44032
1994,DK,4383,2451,2279
1994,EG,3,2,0
1994,ES,5869,4910,1459
1994,FI,7495,4567,3564
1994,FR,37630,26922,22062
1994,GB,25050,15058,13325
1994,GR,126,67,59
1994,HU,1929,1053,306
1994,IE,958,644,422
1994,IL,2095,1419,1112
1994,IN,624,65,33
1994,IT,18143,11643,8082
1994,JP,81208,64257,58116
1994,KR,35059,34006,4911
1994,MA,104,98,3
1994,MX,135,83,33
1994,MY,86,67,36
1994,NL,11484,6355,5845
1994,NO,2494,1239,1071
1994,NZ,517,243,194
1994,PA,33,22,19
1994,PH,64,57,5
1994,PL,4055,1651,98
1994,RU,5957,5536,324
1994,SE,13545,7862,7105
1994,SG,184,127,86
1994,SI,357,274,101
1994,TH,49,40,14
1994,UA,426,383,29
1994,US,182111,132124,97009
1994,ZA,813,522,459
1995,AR,269,75,47
1995,AU,4021,2150,1934
1995,BE,5040,2898,2734
1995,BG,490,263,20
1995,BR,5936,1037,275
1995,CA,9826,6245,5098
1995,CH,15423,9468,8658
1995,CN,42213,36392,321
1995,DE,112053,69417,48152
1995,DK,4849,2794,2587
1995,EG,2,2,1
1995,ES,6398,5321,1782
1995,FI,7819,4847,3941
1995,FR,39717,28222,23523
1995,GB,27296,16525,14532
1995,GR,118,61,55
1995,HU,1829,1079,337
1995,IE,916,624,474
1995,IL,2484,1627,1344
1995,IN,525,81,59
1995,IT,21295,15220,9498
1995,JP,86717,68897,63329
1995,KR,47566,46248,7201
1995,MA,72,70,2
1995,MX,298,110,45
1995,MY,95,76,44
1995,NL,13222,8598,7529
1995,NO,2761,1371,1184
1995,NZ,574,293,265
1995,PA,24,18,16
1995,PH,31,27,4
1995,PL,4346,1546,62
1995,RU,4491,4083,370
1995,SE,14952,8753,7949
1995,SG,170,110,90
1995,SI,368,300,102
1995,TH,46,34,22
1995,UA,355,336,27
1995,US,207666,150463,111790
1995,ZA,577,357,278
1996,AR,1088,166,70
1996,AU,3989,2162,1941
1996,BE,4989,2813,2587
1996,BG,411,213,17
1996,BR,5814,1042,273
1996,CA,10556,6548,5247
1996,CH,15907,9569,8790
1996,CN,45635,39417,373
1996,DE,120328,73538,50983
1996,DK,4984,2640,2437
1996,EG,6,3,2
1996,ES,6765,5424,1737
1996,FI,8291,5074,4178
1996,FR,42258,29618,24880
1996,GB,27862,16209,14400
1996,GR,167,95,88
1996,HU,1653,675,339
1996,IE,1067,695,542
1996,IL,2597,1540,1235
1996,IN,408,157,107
1996,IT,23527,16910,10589
1996,JP,96435,75776,70302
1996,KR,54026,51988,10337
1996,MA,96,89,10
1996,MX,461,168,82
1996,MY,125,92,39
1996,NL,14880,9826,8441
1996,NO,3321,1602,1415
1996,NZ,609,316,288
1996,PA,32,18,18
1996,PH,53,47,6
1996,PL,4034,1462,73
1996,RU,2790,2316,499
1996,SE,16006,9311,8497
1996,SG,304,210,169
1996,SI,417,332,150
1996,TH,42,27,20
1996,UA,343,312,41
1996,US,218323,150682,111166
1996,ZA,614,356,309
1997,AR,1176,250,78
1997,AU,3990,2047,1857
1997,BE,5497,3027,2771
1997,BG,523,289,29
1997,BR,6034,1173,361
1997,CA,12552,7569,5891
1997,CH,17458,10513,9593
1997,CN,47526,41189,504
1997,DE,132958,79742,56456
1997,DK,5668,3148,2920
1997,EG,13,6,4
1997,ES,7018,5656,1976
1997,FI,9148,5387,4519
1997,FR,45909,31549,26909
1997,GB,29268,16668,14816
1997,GR,230,113,106
1997,HU,1489,656,306
1997,IE,1081,640,546
1997,IL,3172,1803,1532
1997,IN,484,245,188
1997,IT,24937,17783,11259
1997,JP,109132,84634,78885
1997,KR,48900,46435,11279
1997,MA,110,104,13
1997,MX,391,185,119
1997,MY,149,103,42
1997,NL,16007,10231,8768
1997,NO,3381,1614,1421
1997,NZ,663,331,262
1997,PA,75,52,47
1997,PH,20,14,3
1997,PL,3816,1418,115
1997,RU,1417,855,385
1997,SE,18812,10921,10072
1997,SG,505,336,284
1997,SI,325,243,81
1997,TH,25,17,8
1997,UA,331,305,47
1997,US,243874,168734,122966
1997,ZA,752,435,342
1998,AR,1182,359,101
1998,AU,4659,2709,2446
1998,BE,5565,3211,2955
1998,BG,379,216,27
1998,BR,5779,1172,401
1998,CA,13926,8552,6455
1998,CH,17438,10296,9466
1998,CN,51578,44832,683
1998,DE,140645,81887,58683
1998,DK,5251,3056,2850
1998,EG,28,16,12
1998,ES,7121,5815,2207
1998,FI,9662,5882,5029
1998,FR,44077,31489,27208
1998,GB,29696,16713,14861
1998,GR,267,158,151
1998,HU,1469,726,385
1998,IE,1279,680,564
1998,IL,3664,2035,1802
1998,IN,488,304,214
1998,IT,24121,16710,10830
1998,JP,100378,79516,74652
1998,KR,50329,33100,10959
1998,MA,95,93,5
1998,MX,340,170,141
1998,MY,127,100,54
1998,NL,15492,10149,8701
1998,NO,3473,1783,1566
1998,NZ,769,448,417
1998,PA,72,38,34
1998,PH,14,8,3
1998,PL,3734,1416,97
1998,RU,1294,754,417
1998,SE,19269,11288,10533
1998,SG,573,360,302
1998,SI,334,284,112
1998,TH,46,33,21
1998,UA,414,342,74
1998,US,245930,170766,125590
1998,ZA,848,513,480
1999,AR,1222,369,78
1999,AU,4751,2759,2592
1999,BE,5948,3409,3138
1999,BG,394,211,36
1999,BR,6532,1162,395
1999,CA,14687,8761,6659
1999,CH,18901,11201,10392
1999,CN,61283,53550,1111
1999,DE,151002,85670,63014
1999,DK,6021,3461,3198
